rest,scr,id
9.71,U' B2 L2 B2 L2 D' L2 U' L2 B2 D F U2 R' D F' U2 F2 R' D' L ,245
9.71,L2 B2 U F2 U' B2 D U' B' D B' U' R' D2 R D U' L F ,246
9.71,L2 F2 D' L' F R' D' B U B2 U F2 B2 U2 B2 R2 D F2 ,247
9.73,L2 D R2 U' R2 U F2 U R2 B U R U2 F' L F' D2 U2 B D2 ,248
9.73,R2 U2 R2 F2 D2 F2 R2 U' L2 D B' R' U' R2 D' F2 D U F' D2 ,249
9.73,F2 U' L2 U B2 L2 B2 F2 U2 F' D' B' R D' U' L' U R' B2 ,250
9.73,F' R U' B' R' L F' L' B2 U' L2 D2 F B L2 B R2 F' D2 ,251
9.73,U2 F2 U' D' B R B U' L2 D F R2 U2 F' D2 L2 D2 F' R2 B ,252
9.73,U2 B2 F' D2 B2 L2 F' D2 L2 F R' F2 D' U' R F L D2 B R2 ,253
9.73,B2 D2 F' L2 F' L2 D2 R2 D2 B' R' F2 D' F' L B L F' D2 U' ,254
9.74,F2 U' F2 U2 F2 U L2 R2 D R' F' D R B U B2 U2 F' L D' ,255
9.74,U B2 R L2 B' R2 B' R' U' D' B R2 U2 L2 F' U2 F2 B' R2 F ,256
9.74,B' L2 F2 R2 B' U2 F L' F2 R' U F2 D2 F' R' B' L2 F' ,257
9.74,L2 F L' U' F R2 D' F B' D2 R' B2 L U2 F2 U2 R' U2 B2 L2 ,258
9.74,U2 F' L2 F' D2 B' D2 B2 L F2 L2 D' F' L2 R B D' F2 R2 ,259
9.75,L2 U' L2 U' B2 U R2 B2 R2 U B2 R U F' U' L' D2 B R' ,260
9.75,F U2 F2 R' B D R' U D' F' L2 U2 D2 F2 D2 R2 D2 R' U2 ,261
9.75,F2 L2 B R L' F2 U2 B' L F2 L2 D L2 U' B2 U R2 D2 F2 ,262
9.76,D2 B2 R2 B U2 B D2 B D2 F2 U R D U L' F' D' F' U2 F' ,263
9.76,R2 B2 L F2 L' D2 L' F U L' B' R D' B2 U2 B R' D2 ,264
9.76,F2 R D2 R F2 U2 R2 F2 D2 R' F R' D' U' F R2 B' U L ,265
9.76,F2 U2 F U R F2 U' L F' D2 L2 F2 L F2 B2 U2 B2 L' U2 L ,266
9.76,B' L F2 L F' D R' B2 R U2 D2 F D2 F R2 B2 L2 U2 ,267
9.76,U B2 R2 B2 D' U2 B2 R2 D B' D U' F U' B R' D2 B2 L' U ,268
9.76,L' U F B' D' B' R2 L2 U L' D L2 F2 D2 L2 D' B2 D' R2 U' ,269
9.76,R D2 B' U D' B2 L B U R D2 L2 D' R2 F2 U R2 D' L2 U ,270
9.77,R2 B2 L' D2 U2 F2 U2 R' U2 F D L' B' U2 R B2 D L U' R2 ,271
9.77,L2 U2 L2 F2 D2 F' D2 F D2 U2 F2 L' D' R2 B D2 U' L2 R' ,272
9.77,F D' F2 L' U R' L' F' D L B' U R2 D' L2 D' R2 F2 R2 F2 ,273
9.78,U2 F2 L' F2 L' U2 L U2 R2 B2 U L2 R2 U' R D U2 L R2 ,274
